fips,state,county,avg_income,covid_case_percap,covid_death_percap,elections_2016_total,demvotes_2016,repvotes_2016,demraw_2016,repraw_2016,elections_2020_total,demvotes_2020,repvotes_2020,demraw_2020,repraw_2020,demchange,repchange,population_density,police,asian,black,hispanic,white,male,female,18plus_percent,age18plus,median_age,population
1001,Alabama,autauga county,41618,0.039127244,0.00053697,24973,0.237696712,0.727665879,5936,18172,27691,0.270954462,0.716406053,7503,19838,0.033257749,-0.011259827,36.28765058,0.002702751,0.011741753,0.201131218,0.029909252,0.737707852,0.484920081,0.515079919,0.767939287,42904,39.3,55869
1003,Alabama,baldwin county,45596,0.031290036,0.000318052,95215,0.19385601,0.765457123,18458,72883,109351,0.224762462,0.7639985,24578,83544,0.030906452,-0.001458623,54.21451404,0.003113325,0.010661458,0.087768888,0.047188152,0.832073071,0.484903733,0.515096267,0.786976894,175680,43.6,223234
1005,Alabama,barbour county,35199,0.043141862,0.000364579,10469,0.465278441,0.520966663,4871,5454,10506,0.458404721,0.535122787,4816,5622,-0.00687372,0.014156123,10.76982639,0.003969861,0.00469902,0.482297659,0.045248319,0.45511626,0.529206838,0.470793162,0.794134327,19604,40.9,24686
1007,Alabama,bibb county,30254,0.039430205,0.000669822,8819,0.212495748,0.764032203,1874,6738,9585,0.207198748,0.785080856,1986,7525,-0.005297,0.021048652,13.89063117,0.002098776,0.002143431,0.212690899,0.027819952,0.744083237,0.532687327,0.467312673,0.796507993,17837,40,22394
1009,Alabama,blount county,34976,0.03645419,0.000432331,25588,0.084258246,0.893348445,2156,22859,27560,0.095791001,0.896625544,2640,24711,0.011532755,0.0032771,34.62469973,0.001902258,0.003199253,0.016912807,0.096530972,0.867706568,0.492373673,0.507626327,0.770777851,44571,41,57826
1011,Alabama,bullock county,28797,0.064845065,0.001683002,4710,0.749469214,0.242038217,3530,1140,4611,0.747343309,0.248536109,3446,1146,-0.002125905,0.006497893,6.262014562,0.002376002,0.002079002,0.702603703,0.085536086,0.20997921,0.545292545,0.454707455,0.791505792,7995,39.5,10101
1013,Alabama,butler county,36450,0.052756067,0.002108186,8732,0.426706367,0.561268896,3726,4901,9482,0.418160726,0.575616958,3965,5458,-0.008545642,0.014348062,9.666073839,0.00370218,0.014345948,0.449763472,0.01486014,0.510952283,0.464006582,0.535993418,0.780234471,15174,42.1,19448
1015,Alabama,calhoun county,37120,0.043351965,0.000572158,47864,0.276658867,0.68663296,13242,32865,50870,0.299115392,0.690013761,15216,35101,0.022456525,0.003380801,72.39472915,0.002975221,0.009013688,0.213133225,0.04061441,0.717081114,0.47956516,0.52043484,0.784578144,89132,40.2,113605
1017,Alabama,chambers county,33859,0.042009984,0.001413364,13900,0.416115108,0.564244604,5784,7843,15259,0.417130874,0.573628678,6365,8753,0.001015766,0.009384074,21.52349752,0.004300235,0.011246767,0.401906538,0.026192338,0.551241956,0.477987611,0.522012389,0.792115234,26341,43.1,33254
1019,Alabama,cherokee county,35505,0.03019545,0.000572607,10733,0.144134911,0.83415634,1547,8953,12289,0.132150704,0.861176662,1624,10583,-0.011984207,0.027020322,18.2648688,0.0023286,0.003931898,0.040960452,0.017140021,0.91670484,0.493434112,0.506565888,0.811154375,21249,47.4,26196
