"","fips","state","county","avg_income","covid_case_percap","covid_death_percap","elections_2016_total","demvotes_2016","repvotes_2016","demraw_2016","repraw_2016","elections_2020_total","demvotes_2020","repvotes_2020","demraw_2020","repraw_2020","demchange","repchange","population_density","police","asian","black","hispanic","white","male","female","X18plus_percent","age18plus","median_age","population","universal_mail","ballot_mailed_2020","application_mailed_2020","excuse_required_2020","TOT_EST_2016","CVAP_EST_2016","tot_est_2020","cvap_est_2020","votesplit_2020","votesplit_2016","registration_2020","registration_2016","turnout2020","turnout2016","change_turnoutpercent","reg_over_CVAP_2016","reg_over_CVAP_2020","change_regCVAP","legis_2020","gov_2020","control_2020","rural_urban","no_diploma"
"1",1001,"Alabama","autauga county",41618,0.039127244,0.00053697,24973,0.237696712,0.727665879,5936,18172,27691,0.270954462,0.716406053,7503,19838,0.033257749,-0.011259827,36.28765,0.002702751,0.011741753,0.201131218,0.029909252,0.73770785,0.4849201,0.5150799,0.7679393,42904,39.3,55869,0,0,0,0,55050,40690,55380,41645,0.255420407,0.277249764,43482,38192,0.636838231912056,0.653880393799749,-0.017042161887693,0.938608994839027,1.0441109376876,0.105501942848571,"0","0","0",2,0.115
"2",1003,"Alabama","baldwin county",45596,0.031290036,0.000318052,95215,0.19385601,0.765457123,18458,72883,109351,0.224762462,0.7639985,24578,83544,0.030906452,-0.001458623,54.21451,0.003113325,0.010661458,0.087768888,0.047188152,0.83207307,0.4849037,0.5150963,0.7869769,175680,43.6,223234,0,0,0,0,199510,151770,212830,162885,0.255420407,0.277249764,176642,146784,0.619054358533078,0.648674242424242,-0.0296198838911642,0.96714765763985,1.08445836019277,0.117310702552924,"0","0","0",3,0.092
"3",1005,"Alabama","barbour county",35199,0.043141862,0.000364579,10469,0.465278441,0.520966663,4871,5454,10506,0.458404721,0.535122787,4816,5622,-0.00687372,0.014156123,10.76983,0.003969861,0.00469902,0.482297659,0.045248319,0.45511626,0.5292068,0.4707932,0.7941343,19604,40.9,24686,0,0,0,0,26615,20375,25360,19730,0.255420407,0.277249764,17819,17095,0.589595375722543,0.612401286926002,-0.0228059112034583,0.839018404907975,0.903142422706538,0.0641240177985628,"0","0","0",6,0.268
"4",1007,"Alabama","bibb county",30254,0.039430205,0.000669822,8819,0.212495748,0.764032203,1874,6738,9585,0.207198748,0.785080856,1986,7525,-0.005297,0.021048652,13.89063,0.002098776,0.002143431,0.212690899,0.027819952,0.74408324,0.5326873,0.4673127,0.796508,17837,40,22394,0,0,0,0,22570,17590,22495,17660,0.255420407,0.277249764,14992,13511,0.63934098185699,0.652727407297757,-0.013386425440767,0.768106878908471,0.848924122310306,0.080817243401835,"0","0","0",1,0.209
"5",1009,"Alabama","blount county",34976,0.03645419,0.000432331,25588,0.084258246,0.893348445,2156,22859,27560,0.095791001,0.896625544,2640,24711,0.011532755,0.0032771,34.6247,0.001902258,0.003199253,0.016912807,0.096530972,0.86770657,0.4923737,0.5076263,0.7707779,44571,41,57826,0,0,0,0,57705,42430,57680,42720,0.255420407,0.277249764,41865,37657,0.658306461244476,0.679501819050907,-0.0211953578064306,0.88750883808626,0.97998595505618,0.0924771169699201,"0","0","0",1,0.195
"6",1011,"Alabama","bullock county",28797,0.064845065,0.001683002,4710,0.749469214,0.242038217,3530,1140,4611,0.747343309,0.248536109,3446,1146,-0.002125905,0.006497893,6.262015,0.002376002,0.002079002,0.702603703,0.085536086,0.20997921,0.5452925,0.4547075,0.7915058,7995,39.5,10101,0,0,0,0,10550,8195,10250,8120,0.255420407,0.277249764,7438,7419,0.619924710943802,0.634856449656288,-0.0149317387124859,0.905308114704088,0.916009852216749,0.0107017375126609,"0","0","0",6,0.253
"7",1013,"Alabama","butler county",36450,0.052756067,0.002108186,8732,0.426706367,0.561268896,3726,4901,9482,0.418160726,0.575616958,3965,5458,-0.008545642,0.014348062,9.666074,0.00370218,0.014345948,0.449763472,0.01486014,0.51095228,0.4640066,0.5359934,0.7802345,15174,42.1,19448,0,0,0,0,20280,15425,19830,15310,0.255420407,0.277249764,14602,13801,0.649363100945076,0.632707774798928,0.0166553261461484,0.894716369529984,0.953755715218811,0.0590393456888274,"0","0","0",6,0.15
"8",1015,"Alabama","calhoun county",37120,0.043351965,0.000572158,47864,0.276658867,0.68663296,13242,32865,50870,0.299115392,0.690013761,15216,35101,0.022456525,0.003380801,72.39473,0.002975221,0.009013688,0.213133225,0.04061441,0.71708111,0.4795652,0.5204348,0.7845781,89132,40.2,113605,0,0,0,0,115885,88525,114620,88205,0.255420407,0.277249764,81390,74414,0.625015358152107,0.643212298760986,-0.0181969406088787,0.84059870093194,0.922736806303498,0.0821381053715574,"0","0","0",3,0.156
"9",1017,"Alabama","chambers county",33859,0.042009984,0.001413364,13900,0.416115108,0.564244604,5784,7843,15259,0.417130874,0.573628678,6365,8753,0.001015766,0.009384074,21.5235,0.004300235,0.011246767,0.401906538,0.026192338,0.55124196,0.4779876,0.5220124,0.7921152,26341,43.1,33254,0,0,0,0,34020,26480,33660,26170,0.255420407,0.277249764,25985,24010,0.587223398114297,0.578925447730112,0.00829795038418424,0.906722054380665,0.992930836836072,0.0862087824554072,"0","0","0",6,0.184
"10",1019,"Alabama","cherokee county",35505,0.03019545,0.000572607,10733,0.144134911,0.83415634,1547,8953,12289,0.132150704,0.861176662,1624,10583,-0.011984207,0.027020322,18.26487,0.0023286,0.003931898,0.040960452,0.017140021,0.91670484,0.4934341,0.5065659,0.8111544,21249,47.4,26196,0,0,0,0,25895,20505,25905,20580,0.255420407,0.277249764,19430,16959,0.632475553268142,0.632879297128368,-0.000403743860226347,0.827066569129481,0.944120505344995,0.117053936215515,"0","0","0",6,0.184
"11",1021,"Alabama","chilton county",34798,0.044071306,0.000742775,18369,0.158473515,0.821002776,2911,15081,19281,0.1593797,0.834240963,3073,16085,0.000906185,0.013238186,24.75816,0.002295849,0.004884307,0.103448276,0.081840281,0.79861799,0.4906816,0.5093184,0.7616143,33837,39.8,44428,0,0,0,0,43815,31555,44055,32310,0.255420407,0.277249764,29874,28567,0.64541072504519,0.643014667273427,0.00239605777176244,0.905308192045635,0.924605385329619,0.0192971932839847,"0","0","0",1,0.182
"12",1023,"Alabama","choctaw county",39280,0.031376599,0.000953213,7292,0.426357652,0.56308283,3109,4106,7461,0.419112719,0.575794129,3127,4296,-0.007244933,0.012711299,5.321087,0.001906426,0.001985861,0.417427913,0.010167607,0.56326952,0.4716816,0.5283184,0.8030026,10109,46.8,12589,0,0,0,0,13285,10515,12925,10285,0.255420407,0.277249764,11008,10989,0.677779796511628,0.663572663572664,0.0142071329389644,1.04507845934379,1.07029654837141,0.0252180890276201,"0","0","0",9,0.186
"13",1025,"Alabama","clarke county",36361,0.059605453,0.000719668,13031,0.441178728,0.547924181,5749,7140,13128,0.43837599,0.55789153,5755,7324,-0.002802737,0.009967349,7.364628,0.003048006,0.004360342,0.4502159,0.01312336,0.52108204,0.4721446,0.5278554,0.7869359,18589,42.9,23622,0,0,0,0,24845,19195,24130,18825,0.255420407,0.277249764,19645,19386,0.668261644184271,0.672186113690292,-0.0039244695060211,1.00995050794478,1.04355909694555,0.0336085890007738,"0","0","0",7,0.194
"14",1027,"Alabama","clay county",33530,0.058859086,0.000906687,6624,0.186745169,0.791817633,1237,5245,6921,0.183066031,0.809276116,1267,5601,-0.003679138,0.017458483,8.460905,0.002871175,0.002871175,0.137816396,0.032867397,0.80347563,0.4871175,0.5128825,0.7983377,10566,44.7,13235,0,0,0,0,13485,10360,13335,10380,0.255420407,0.277249764,10431,10202,0.663503019844694,0.649284454028622,0.0142185658160718,0.984749034749035,1.00491329479769,0.020164260048653,"0","0","0",9,0.233
"15",1029,"Alabama","cleburne county",36159,0.039570758,0.000603622,6593,0.103746398,0.874260579,684,5764,7219,0.093503255,0.898185344,675,6484,-0.010243142,0.023924765,10.27805,0.002481556,0.00221328,0.02843729,0.025955734,0.92816901,0.4922871,0.5077129,0.7745808,11549,42.9,14910,0,0,0,0,14990,11295,14915,11395,0.255420407,0.277249764,11494,10818,0.628066817469984,0.609447217600296,0.0186195998696885,0.957768924302789,1.00868802106187,0.0509190967590804,"0","0","0",8,0.21
"16",1031,"Alabama","coffee county",43094,0.036013144,0.000210156,20767,0.203255164,0.764433958,4221,15875,22239,0.228247673,0.75988129,5076,16899,0.024992509,-0.004552668,29.76402,0.002751137,0.016774292,0.176072752,0.07968744,0.69424172,0.4918039,0.5081961,0.7632112,39948,39.4,52342,0,0,0,0,50990,37955,51660,38415,0.255420407,0.277249764,37095,33531,0.599514759401537,0.619337329635263,-0.0198225702337262,0.883440916875247,0.965638422491214,0.0821975056159674,"0","0","0",4,0.141
"17",1033,"Alabama","colbert county",38378,0.041871074,0.00057928,24915,0.293477825,0.672125226,7312,16746,27818,0.299913725,0.690308433,8343,19203,0.0064359,0.018183208,35.99054,0.003186039,0.006770334,0.162180265,0.032385366,0.77723068,0.4780507,0.5219493,0.7908257,43686,42.3,55241,0,0,0,0,54375,42235,54770,42620,0.255420407,0.277249764,43545,38332,0.638833390745206,0.649979129708859,-0.0111457389636533,0.907588492956079,1.02170342562177,0.114114932665695,"0","0","0",3,0.148
"18",1035,"Alabama","conecuh county",32656,0.047899229,0.001077318,6585,0.467729689,0.519362187,3080,3420,6440,0.460559006,0.53447205,2966,3442,-0.007170682,0.015109863,5.480146,0.004143532,0.002320378,0.460760752,0.022955167,0.50360487,0.4771691,0.5228309,0.794978,9593,45.6,12067,0,0,0,0,12695,9825,12395,9765,0.255420407,0.277249764,10380,10488,0.620423892100193,0.627860411899314,-0.00743651979912086,1.06748091603053,1.06298003072197,-0.00450088530856818,"0","0","0",7,0.157
"19",1037,"Alabama","coosa county",31328,0.021101003,0.000281347,5252,0.339299315,0.64375476,1782,3381,5473,0.328156404,0.663438699,1796,3631,-0.01114291,0.019683939,6.324996,0.002907249,0.00168808,0.308918691,0.026259027,0.65131764,0.5003282,0.4996718,0.8361624,8916,49.5,10663,0,0,0,0,10865,8755,10755,8905,0.255420407,0.277249764,8375,8113,0.653492537313433,0.647356095155923,0.00613644215751019,0.926670474014849,0.940482874789444,0.0138124007745954,"0","0","0",8,0.2
"20",1039,"Alabama","covington county",35651,0.051121488,0.000809738,15940,0.149749059,0.832308657,2387,13267,17404,0.156343369,0.838083199,2721,14586,0.00659431,0.005774542,13.8819,0.003481875,0.005020378,0.125185565,0.018543011,0.83062971,0.4838727,0.5161273,0.7796972,28887,43.4,37049,0,0,0,0,37730,29295,37200,28895,0.255420407,0.277249764,28295,25328,0.615091005478,0.62934301958307,-0.0142520141050705,0.864584400068271,0.979235161792698,0.114650761724427,"0","0","0",6,0.166
"21",1041,"Alabama","crenshaw county",36645,0.045309323,0.002178333,6267,0.265517792,0.72012127,1664,4513,6608,0.257263923,0.736077482,1700,4864,-0.008253869,0.015956212,8.733299,0.002105722,0.011036886,0.238817891,0.024179495,0.70265757,0.4854052,0.5145948,0.7722916,10636,42,13772,0,0,0,0,13895,10535,13845,10615,0.255420407,0.277249764,10606,9957,0.623043560248916,0.629406447725218,-0.00636288747630276,0.945135263407689,0.999152143193594,0.0540168797859054,"0","0","0",8,0.208
"22",1043,"Alabama","cullman county",39607,0.034213542,0.000298443,37873,0.100282523,0.871042695,3798,32989,41776,0.107190732,0.882803524,4478,36880,0.006908208,0.011760828,44.01728,0.002506924,0.007246204,0.013800019,0.044790373,0.91677013,0.4943176,0.5056824,0.7754274,64956,40.9,83768,0,0,0,0,81315,61625,82855,62990,0.255420407,0.277249764,62597,55905,0.66738022588942,0.677452821751185,-0.0100725958617655,0.907180527383367,0.993760914430862,0.0865803870474948,"0","0","0",4,0.184
"23",1045,"Alabama","dale county",36613,0.039555031,0.001057512,18749,0.235372553,0.736465945,4413,13808,19706,0.262356643,0.725819547,5170,14303,0.026984089,-0.010646398,33.83446,0.002257382,0.014500122,0.209753518,0.070161881,0.67975677,0.4924347,0.5075653,0.7724721,37984,38.1,49172,0,0,0,0,49605,37405,49275,37105,0.255420407,0.277249764,35610,31429,0.553383880932322,0.596550956123326,-0.0431670751910032,0.840235262665419,0.959708934105916,0.119473671440497,"0","0","0",4,0.139
"24",1047,"Alabama","dallas county",36026,0.051322723,0.000725885,18792,0.68305662,0.30805662,12836,5789,17844,0.685384443,0.309571845,12230,5524,0.002327823,0.001515225,14.67377,0.003629423,0.00448973,0.707065276,0.011533498,0.26970642,0.4618239,0.5381761,0.766776,28521,40.7,37196,0,0,0,0,41425,30615,39150,29380,0.255420407,0.277249764,31771,32514,0.561644266784174,0.577966414467614,-0.0163221476834398,1.06202841744243,1.08138189244384,0.0193534750014093,"0","0","0",4,0.182
"25",1049,"Alabama","dekalb county",31916,0.051780795,0.000419504,25826,0.140246263,0.828815922,3622,21405,29298,0.146119189,0.845347805,4281,24767,0.005872926,0.016531883,35.53129,0.002712793,0.005187868,0.018737852,0.150657922,0.79849817,0.49749,0.50251,0.760589,54392,40.1,71513,0,0,0,0,70935,49580,71310,49665,0.255420407,0.277249764,45089,40813,0.649781543170175,0.63278857226864,0.0169929709015346,0.823174667204518,0.907862679955703,0.0846880127511853,"0","0","0",6,0.252
"26",1051,"Alabama","elmore county",42269,0.040943738,0.00072652,37260,0.226596887,0.741653247,8443,27634,40929,0.253292287,0.736983557,10367,30164,0.0266954,-0.004669691,50.69979,0.002327328,0.007511483,0.211540593,0.031560541,0.73084264,0.4831484,0.5168516,0.7767612,63080,39.2,81209,0,0,0,0,80955,61485,81145,62010,0.255420407,0.277249764,60667,54018,0.674650139284949,0.68977007664112,-0.0151199373561707,0.878555745303733,0.978342202870505,0.0997864575667722,"0","0","0",2,0.134
"27",1053,"Alabama","escambia county",32996,0.048262496,0.000846232,14845,0.310205456,0.669248905,4605,9935,15881,0.309678232,0.684402745,4918,10869,-0.000527225,0.01515384,14.96555,0.005705238,0.003330331,0.312559714,0.025987498,0.60311741,0.5029618,0.4970382,0.7754484,28407,40.1,36633,0,0,0,0,37875,29330,37055,28700,0.255420407,0.277249764,27180,24337,0.584289919058131,0.609976578871677,-0.0256866598135459,0.829764745993863,0.947038327526132,0.117273581532269,"0","0","0",6,0.189
"28",1055,"Alabama","etowah county",36918,0.044618062,0.000528024,44164,0.236436917,0.732564985,10442,32353,47626,0.242871541,0.745979087,11567,35528,0.006434624,0.013414102,73.76605,0.004077522,0.008223491,0.157449055,0.041361912,0.77450424,0.4839833,0.5160167,0.7870693,80492,42,102268,0,0,0,0,103365,78780,102750,78975,0.255420407,0.277249764,75935,69344,0.627194310923816,0.636882787263498,-0.00968847633968151,0.88022340695608,0.96150680595125,0.0812833989951701,"0","0","0",3,0.154
"29",1057,"Alabama","fayette county",34966,0.037418722,0.00085879,8249,0.165110923,0.813674385,1362,6712,8751,0.159410353,0.834190378,1395,7300,-0.005700569,0.020515993,10.02772,0.002024291,0.004784689,0.116611459,0.020549626,0.84057171,0.4868728,0.5131272,0.7894123,12869,43.9,16302,0,0,0,0,16785,13155,16495,12985,0.255420407,0.277249764,13017,12154,0.672274717676884,0.67870659865065,-0.0064318809737659,0.923907259597111,1.00246438197921,0.0785571223820953,"0","0","0",6,0.174
"30",1059,"Alabama","franklin county",34318,0.069797845,0.001020343,12040,0.182475083,0.786212625,2197,9466,12568,0.165977085,0.825588797,2086,10376,-0.016497998,0.039376172,19.10174,0.002774058,0.003634972,0.043779096,0.178751355,0.76184555,0.5032205,0.4967795,0.7521842,23590,39,31362,0,0,0,0,31575,21935,31465,21850,0.255420407,0.277249764,19656,18979,0.639397639397639,0.63438537330734,0.0050122660902997,0.865238203783907,0.899588100686499,0.0343498969025918,"0","0","0",6,0.228
"31",1061,"Alabama","geneva county",35192,0.03745575,0.000266454,11758,0.129698928,0.849974485,1525,9994,12533,0.127264023,0.865554935,1595,10848,-0.002434905,0.01558045,17.65677,0.002245822,0.00350196,0.093068402,0.041680941,0.83556012,0.488257,0.511743,0.7804804,20504,43.5,26271,0,0,0,0,26765,20515,26415,20430,0.255420407,0.277249764,20061,17933,0.624744529185983,0.655662744660681,-0.0309182154746986,0.874140872532293,0.981938325991189,0.107797453458896,"0","0","0",3,0.197
