LNTITLE,fips,TOT_EST_2016,CVAP_EST_2016
Total,1001,55050,40690
Not Hispanic or Latino,1001,53635,40015
American Indian or Alaska Native Alone,1001,225,125
Asian Alone,1001,485,245
Black or African American Alone,1001,10115,7470
Native Hawaiian or Other Pacific Islander Alone,1001,4,4
White Alone,1001,41795,31705
American Indian or Alaska Native and White,1001,230,220
Asian and White,1001,270,140
Black or African American and White,1001,420,50
American Indian or Alaska Native and Black or African American,1001,0,0
Remainder of Two or More Race Responses,1001,90,55
Hispanic or Latino,1001,1415,675
Total,1003,199510,151770
Not Hispanic or Latino,1003,190800,148020
American Indian or Alaska Native Alone,1003,1230,1095
Asian Alone,1003,1785,615
Black or African American Alone,1003,18500,13315
Native Hawaiian or Other Pacific Islander Alone,1003,0,0
White Alone,1003,166275,131535
American Indian or Alaska Native and White,1003,1275,795
Asian and White,1003,590,305
Black or African American and White,1003,1035,260
American Indian or Alaska Native and Black or African American,1003,55,55
Remainder of Two or More Race Responses,1003,50,45
Hispanic or Latino,1003,8710,3750
Total,1005,26615,20375
Not Hispanic or Latino,1005,25465,20120
American Indian or Alaska Native Alone,1005,45,45
Asian Alone,1005,120,40
Black or African American Alone,1005,12765,9635
Native Hawaiian or Other Pacific Islander Alone,1005,0,0
White Alone,1005,12390,10310
American Indian or Alaska Native and White,1005,65,65
Asian and White,1005,25,0
Black or African American and White,1005,45,15
American Indian or Alaska Native and Black or African American,1005,4,4
Remainder of Two or More Race Responses,1005,4,4
Hispanic or Latino,1005,1145,250
Total,1007,22570,17590
Not Hispanic or Latino,1007,22070,17415
American Indian or Alaska Native Alone,1007,80,45
Asian Alone,1007,15,0
Black or African American Alone,1007,4790,3875
Native Hawaiian or Other Pacific Islander Alone,1007,0,0
White Alone,1007,16875,13250
American Indian or Alaska Native and White,1007,65,65
Asian and White,1007,0,0
Black or African American and White,1007,230,170
American Indian or Alaska Native and Black or African American,1007,0,0
Remainder of Two or More Race Responses,1007,15,15
Hispanic or Latino,1007,500,175
Total,1009,57705,42430
Not Hispanic or Latino,1009,52670,40885
American Indian or Alaska Native Alone,1009,170,155
Asian Alone,1009,90,65
Black or African American Alone,1009,905,675
Native Hawaiian or Other Pacific Islander Alone,1009,0,0
White Alone,1009,50710,39580
American Indian or Alaska Native and White,1009,450,360
Asian and White,1009,105,25
Black or African American and White,1009,175,25
American Indian or Alaska Native and Black or African American,1009,0,0
Remainder of Two or More Race Responses,1009,60,4
Hispanic or Latino,1009,5035,1550
Total,1011,10550,8195
Not Hispanic or Latino,1011,10540,8180
American Indian or Alaska Native Alone,1011,85,55
Asian Alone,1011,85,40
Black or African American Alone,1011,7970,5950
Native Hawaiian or Other Pacific Islander Alone,1011,0,0
White Alone,1011,2290,2020
American Indian or Alaska Native and White,1011,115,115
Asian and White,1011,0,0
Black or African American and White,1011,0,0
American Indian or Alaska Native and Black or African American,1011,0,0
Remainder of Two or More Race Responses,1011,0,0
Hispanic or Latino,1011,15,15
Total,1013,20280,15425
Not Hispanic or Latino,1013,20025,15265
American Indian or Alaska Native Alone,1013,15,15
Asian Alone,1013,205,115
Black or African American Alone,1013,8825,6385
Native Hawaiian or Other Pacific Islander Alone,1013,0,0
White Alone,1013,10715,8595
American Indian or Alaska Native and White,1013,100,85
Asian and White,1013,15,15
Black or African American and White,1013,120,25
American Indian or Alaska Native and Black or African American,1013,10,10
Remainder of Two or More Race Responses,1013,25,25
Hispanic or Latino,1013,255,160
Total,1015,115885,88525
Not Hispanic or Latino,1015,111900,87085
American Indian or Alaska Native Alone,1015,230,205
Asian Alone,1015,1080,500
Black or African American Alone,1015,23560,17620
Native Hawaiian or Other Pacific Islander Alone,1015,4,4
White Alone,1015,84640,67470
American Indian or Alaska Native and White,1015,750,640
Asian and White,1015,145,130
Black or African American and White,1015,1135,310
American Indian or Alaska Native and Black or African American,1015,60,50
Remainder of Two or More Race Responses,1015,300,150
Hispanic or Latino,1015,3980,1440
Total,1017,34020,26480
Not Hispanic or Latino,1017,33870,26415
American Indian or Alaska Native Alone,1017,80,80
Asian Alone,1017,330,75
Black or African American Alone,1017,13785,10435
Native Hawaiian or Other Pacific Islander Alone,1017,0,0
White Alone,1017,19305,15700
American Indian or Alaska Native and White,1017,95,70
Asian and White,1017,4,4
Black or African American and White,1017,275,55
American Indian or Alaska Native and Black or African American,1017,0,0
Remainder of Two or More Race Responses,1017,0,0
Hispanic or Latino,1017,150,65
Total,1019,25895,20505
Not Hispanic or Latino,1019,25490,20290
American Indian or Alaska Native Alone,1019,150,85
Asian Alone,1019,85,25
Black or African American Alone,1019,1200,910
Native Hawaiian or Other Pacific Islander Alone,1019,0,0
White Alone,1019,23790,19100
American Indian or Alaska Native and White,1019,170,150
Asian and White,1019,0,0
Black or African American and White,1019,85,10
American Indian or Alaska Native and Black or African American,1019,4,4
Remainder of Two or More Race Responses,1019,4,4
Hispanic or Latino,1019,405,215
Total,1021,43815,31555
Not Hispanic or Latino,1021,40475,31065
American Indian or Alaska Native Alone,1021,135,135
Asian Alone,1021,190,50
Black or African American Alone,1021,4385,3220
Native Hawaiian or Other Pacific Islander Alone,1021,0,0
White Alone,1021,35360,27475
American Indian or Alaska Native and White,1021,150,140
Asian and White,1021,35,10
Black or African American and White,1021,135,35
American Indian or Alaska Native and Black or African American,1021,4,4
Remainder of Two or More Race Responses,1021,85,0
