lntitle,fips,tot_est_2020,cvap_est_2020
Total,1001,55380,41645
Not Hispanic or Latino,1001,53815,40830
American Indian or Alaska Native Alone,1001,140,95
Asian Alone,1001,575,285
Black or African American Alone,1001,10575,7860
Native Hawaiian or Other Pacific Islander Alone,1001,4,4
White Alone,1001,41350,31985
American Indian or Alaska Native and White,1001,290,280
Asian and White,1001,265,120
Black or African American and White,1001,455,115
American Indian or Alaska Native and Black or African American,1001,15,15
Remainder of Two or More Race Responses,1001,150,60
Hispanic or Latino,1001,1565,820
Total,1003,212830,162885
Not Hispanic or Latino,1003,203120,158985
American Indian or Alaska Native Alone,1003,1390,1210
Asian Alone,1003,1955,975
Black or African American Alone,1003,19605,14115
Native Hawaiian or Other Pacific Islander Alone,1003,10,10
White Alone,1003,177150,140910
American Indian or Alaska Native and White,1003,1335,890
Asian and White,1003,835,465
Black or African American and White,1003,495,150
American Indian or Alaska Native and Black or African American,1003,55,55
Remainder of Two or More Race Responses,1003,290,205
Hispanic or Latino,1003,9710,3895
Total,1005,25360,19730
Not Hispanic or Latino,1005,24255,19290
American Indian or Alaska Native Alone,1005,75,75
Asian Alone,1005,125,35
Black or African American Alone,1005,12135,9255
Native Hawaiian or Other Pacific Islander Alone,1005,4,4
White Alone,1005,11650,9725
American Indian or Alaska Native and White,1005,60,60
Asian and White,1005,10,10
Black or African American and White,1005,25,20
American Indian or Alaska Native and Black or African American,1005,75,50
Remainder of Two or More Race Responses,1005,95,55
Hispanic or Latino,1005,1105,440
Total,1007,22495,17660
Not Hispanic or Latino,1007,21915,17430
American Indian or Alaska Native Alone,1007,30,30
Asian Alone,1007,25,25
Black or African American Alone,1007,4980,4025
Native Hawaiian or Other Pacific Islander Alone,1007,0,0
White Alone,1007,16765,13265
American Indian or Alaska Native and White,1007,30,30
Asian and White,1007,4,4
Black or African American and White,1007,70,40
American Indian or Alaska Native and Black or African American,1007,0,0
Remainder of Two or More Race Responses,1007,10,10
Hispanic or Latino,1007,580,235
Total,1009,57680,42720
Not Hispanic or Latino,1009,52340,40810
American Indian or Alaska Native Alone,1009,40,40
Asian Alone,1009,210,75
Black or African American Alone,1009,880,630
Native Hawaiian or Other Pacific Islander Alone,1009,25,25
White Alone,1009,50335,39485
American Indian or Alaska Native and White,1009,580,465
Asian and White,1009,25,20
Black or African American and White,1009,175,35
American Indian or Alaska Native and Black or African American,1009,0,0
Remainder of Two or More Race Responses,1009,65,30
Hispanic or Latino,1009,5340,1915
Total,1011,10250,8120
Not Hispanic or Latino,1011,9985,7930
American Indian or Alaska Native Alone,1011,0,0
Asian Alone,1011,50,10
Black or African American Alone,1011,7665,5965
Native Hawaiian or Other Pacific Islander Alone,1011,0,0
White Alone,1011,2190,1960
American Indian or Alaska Native and White,1011,0,0
Asian and White,1011,0,0
Black or African American and White,1011,0,0
American Indian or Alaska Native and Black or African American,1011,0,0
Remainder of Two or More Race Responses,1011,80,0
Hispanic or Latino,1011,260,190
Total,1013,19830,15310
Not Hispanic or Latino,1013,19550,15145
American Indian or Alaska Native Alone,1013,10,10
Asian Alone,1013,70,0
Black or African American Alone,1013,8930,6720
Native Hawaiian or Other Pacific Islander Alone,1013,0,0
White Alone,1013,10230,8300
American Indian or Alaska Native and White,1013,115,100
Asian and White,1013,15,0
Black or African American and White,1013,180,15
