fips,universal_mail,ballot_mailed_2020,application_mailed_2020,excuse_required_2020
30001,0,1,0,0
30003,0,1,0,0
30005,0,1,0,0
30007,0,0,0,0
30009,0,0,0,0
30011,0,1,0,0
30013,0,1,0,0
30015,0,0,0,0
30017,0,1,0,0
30019,0,1,0,0
30021,0,1,0,0
30023,0,1,0,0
30025,0,1,0,0
30027,0,0,0,0
30029,0,1,0,0
30031,0,1,0,0
30033,0,1,0,0
30035,0,1,0,0
30037,0,1,0,0
30039,0,1,0,0
30041,0,1,0,0
30043,0,1,0,0
30045,0,1,0,0
30047,0,1,0,0
30049,0,1,0,0
30051,0,1,0,0
30053,0,1,0,0
30055,0,1,0,0
30057,0,1,0,0
30059,0,1,0,0
30061,0,0,0,0
30063,0,1,0,0
30065,0,1,0,0
30067,0,1,0,0
30069,0,0,0,0
30071,0,1,0,0
30073,0,1,0,0
30075,0,0,0,0
30077,0,0,0,0
30079,0,1,0,0
30081,0,1,0,0
30083,0,1,0,0
30085,0,1,0,0
30087,0,1,0,0
30089,0,1,0,0
30091,0,1,0,0
30093,0,1,0,0
30095,0,0,0,0
30097,0,1,0,0
30099,0,1,0,0
30101,0,1,0,0
30103,0,0,0,0
30105,0,1,0,0
30107,0,1,0,0
30109,0,0,0,0
30111,0,1,0,0
6001,0,1,0,0
6003,1,0,0,0
6005,0,1,0,0
6007,0,1,0,0
6009,0,1,0,0
6011,0,1,0,0
6013,0,1,0,0
6015,0,1,0,0
6017,0,1,0,0
6019,0,1,0,0
6021,0,1,0,0
6023,0,1,0,0
6025,0,1,0,0
6027,0,1,0,0
6029,0,1,0,0
6031,0,1,0,0
6033,0,1,0,0
6035,0,1,0,0
6037,0,1,0,0
6039,0,1,0,0
6041,0,1,0,0
6043,0,1,0,0
6045,0,1,0,0
6047,0,1,0,0
6049,0,1,0,0
6051,0,1,0,0
6053,0,1,0,0
6055,0,1,0,0
6057,0,1,0,0
6059,0,1,0,0
6061,0,1,0,0
6063,1,0,0,0
6065,0,1,0,0
6067,0,1,0,0
6069,0,1,0,0
6071,0,1,0,0
6073,0,1,0,0
6075,0,1,0,0
6077,0,1,0,0
6079,0,1,0,0
6081,0,1,0,0
6083,0,1,0,0
6085,0,1,0,0
6087,0,1,0,0
6089,0,1,0,0
6091,1,0,0,0
6093,0,1,0,0
6095,0,1,0,0
6097,0,1,0,0
6099,0,1,0,0
6101,0,1,0,0
6103,0,1,0,0
6105,0,1,0,0
6107,0,1,0,0
6109,0,1,0,0
6111,0,1,0,0
6113,0,1,0,0
6115,0,1,0,0
31001,0,0,1,0
31003,0,0,1,0
31005,0,0,1,0
31007,0,0,1,0
31009,0,0,1,0
31011,0,1,0,0
31013,0,0,1,0
31015,0,0,1,0
31017,0,0,1,0
31019,0,0,1,0
31021,0,0,1,0
31023,0,0,1,0
31025,0,0,1,0
31027,0,1,0,0
31029,0,0,1,0
31031,0,1,0,0
31033,0,0,1,0
31035,0,1,0,0
31037,0,0,1,0
31039,0,0,1,0
31041,0,0,1,0
31043,0,0,1,0
31045,0,1,0,0
31047,0,0,1,0
31049,0,0,1,0
31051,0,1,0,0
31053,0,0,1,0
31055,0,0,1,0
31057,0,0,1,0
31059,0,0,1,0
31061,0,0,1,0
31063,0,0,1,0
31065,0,0,1,0
31067,0,0,1,0
31069,0,1,0,0
31071,0,0,1,0
31073,0,0,1,0
31075,0,0,1,0
31077,0,0,1,0
31079,0,0,1,0
31081,0,0,1,0
31083,0,0,1,0
31085,0,0,1,0
31087,0,0,1,0
31089,0,0,1,0
31091,0,0,1,0
31093,0,0,1,0
31095,0,0,1,0
31097,0,0,1,0
31099,0,0,1,0
31101,0,0,1,0
31103,0,0,1,0
31105,0,0,1,0
31107,0,1,0,0
31109,0,0,1,0
31111,0,0,1,0
31113,0,0,1,0
31115,0,0,1,0
31117,0,0,1,0
31119,0,0,1,0
31121,0,1,0,0
31123,0,1,0,0
31125,0,0,1,0
31127,0,0,1,0
31129,0,0,1,0
31131,0,0,1,0
31133,0,0,1,0
31135,0,0,1,0
31137,0,0,1,0
31139,0,0,1,0
31141,0,0,1,0
31143,0,0,1,0
31145,0,0,1,0
31147,0,0,1,0
31149,0,0,1,0
31151,0,0,1,0
31153,0,0,1,0
31155,0,0,1,0
31157,0,0,1,0
31159,0,0,1,0
31161,0,0,1,0
31163,0,0,1,0
31165,0,0,1,0
31167,0,1,0,0
31169,0,0,1,0
31171,0,0,1,0
31173,0,0,1,0
31175,0,0,1,0
31177,0,0,1,0
31179,0,0,1,0
31181,0,0,1,0
31183,0,0,1,0
31185,0,0,1,0
