fips,rural_urban,no_diploma
0,,0.12
1000,,0.138
1001,2,0.115
1003,3,0.092
1005,6,0.268
1007,1,0.209
1009,1,0.195
1011,6,0.253
1013,6,0.15
1015,3,0.156
1017,6,0.184
1019,6,0.184
1021,1,0.182
1023,9,0.186
1025,7,0.194
1027,9,0.233
1029,8,0.21
1031,4,0.141
1033,3,0.148
1035,7,0.157
1037,8,0.2
1039,6,0.166
1041,8,0.208
1043,4,0.184
1045,4,0.139
1047,4,0.182
1049,6,0.252
1051,2,0.134
1053,6,0.189
1055,3,0.154
1057,6,0.174
1059,6,0.228
1061,3,0.197
1063,8,0.208
1065,3,0.16
1067,3,0.206
1069,3,0.14
1071,6,0.168
1073,1,0.099
1075,8,0.177
1077,3,0.126
1079,3,0.207
1081,3,0.091
1083,2,0.153
1085,2,0.217
1087,6,0.182
1089,2,0.083
1091,7,0.162
1093,7,0.204
1095,4,0.184
1097,2,0.135
1099,7,0.144
1101,2,0.133
1103,3,0.159
1105,8,0.172
1107,3,0.185
1109,6,0.15
1111,6,0.204
1113,2,0.162
1115,1,0.154
1117,1,0.073
1119,8,0.133
1121,4,0.197
1123,6,0.193
1125,3,0.117
1127,1,0.182
1129,8,0.174
1131,9,0.235
1133,6,0.212
2000,,0.072
2010,,0
2013,9,0.145
2016,9,0.105
2020,2,0.061
2050,7,0.191
2060,9,0.06
2068,8,0.015
2070,9,0.137
2090,3,0.055
2100,9,0.025
2105,9,0.063
2110,5,0.036
2122,7,0.073
2130,7,0.072
2150,7,0.102
2158,9,0.211
2160,,0
2164,9,0.12
2170,2,0.071
2180,7,0.154
2185,7,0.103
2188,7,0.175
2195,9,0.103
2198,9,0.092
2201,,0
2220,7,0.053
2230,9,0.053
2231,,0
2232,,0
2240,9,0.101
2250,,0
2261,9,0.046
2275,9,0.135
2280,,0
2282,9,0.088
2290,9,0.14
4000,,0.129
4001,6,0.196
4003,3,0.126
4005,3,0.095
4007,4,0.137
4009,7,0.147
4011,7,0.119
4012,6,0.231
4013,1,0.123
4015,3,0.139
4017,4,0.166
4019,2,0.116
4021,1,0.142
4023,4,0.234
4025,3,0.09
4027,3,0.267
5000,,0.134
5001,6,0.161
5003,7,0.167
5005,7,0.113
5007,2,0.114
5009,7,0.126
5011,7,0.19
5013,9,0.158
5015,6,0.137
5017,7,0.192
5019,7,0.1
5021,7,0.175
5023,6,0.141
5025,3,0.104
5027,7,0.141
5029,6,0.13
5031,3,0.107
5033,2,0.15
5035,1,0.174
5037,6,0.164
5039,6,0.161
5041,6,0.189
5043,6,0.131
5045,2,0.082
5047,6,0.163
5049,9,0.144
5051,3,0.109
5053,2,0.092
5055,4,0.118
5057,6,0.174
5059,6,0.142
5061,6,0.148
5063,7,0.14
5065,9,0.162
5067,6,0.198
5069,3,0.139
5071,7,0.211
5073,8,0.203
5075,6,0.159
5077,7,0.242
5079,3,0.189
5081,3,0.11
5083,6,0.138
5085,2,0.109
5087,2,0.194
5089,9,0.135
5091,3,0.135
5093,4,0.189
5095,7,0.211
5097,8,0.202
5099,7,0.096
5101,9,0.135
5103,7,0.14
5105,2,0.152
5107,6,0.197
5109,9,0.126
5111,3,0.197
5113,7,0.151
5115,5,0.155
5117,8,0.168
5119,2,0.096
5121,7,0.171
5123,6,0.181
5125,2,0.094
5127,6,0.209
5129,9,0.182
5131,2,0.159
5133,6,0.235
5135,7,0.165
5137,9,0.188
5139,7,0.151
5141,8,0.149
5143,2,0.15
5145,4,0.156
5147,9,0.183
5149,6,0.218
6000,,0.167
6001,1,0.116
6003,8,0.088
6005,6,0.1
6007,3,0.108
6009,6,0.098
6011,6,0.287
6013,1,0.105
6015,7,0.199
6017,1,0.066
6019,2,0.24
6021,6,0.252
6023,5,0.095
6025,3,0.303
6027,7,0.114
6029,2,0.259
6031,3,0.266
6033,4,0.142
6035,7,0.168
6037,1,0.209
6039,3,0.281
6041,1,0.067
6043,8,0.094
6045,4,0.135
6047,2,0.309
6049,6,0.152
6051,7,0.114
6053,2,0.285
6055,3,0.145
6057,4,0.056
6059,1,0.145
6061,1,0.055
6063,7,0.049
6065,1,0.18
6067,1,0.123
6069,1,0.195
6071,1,0.2
6073,1,0.126
6075,1,0.115
6077,2,0.207
6079,2,0.087
6081,1,0.104
6083,2,0.191
6085,1,0.116
6087,2,0.137
6089,3,0.089
6091,8,0.076
6093,6,0.098
6095,2,0.116
6097,2,0.112
6099,2,0.211
6101,3,0.218
6103,4,0.155
6105,8,0.076
6107,2,0.292
6109,4,0.093
6111,2,0.15
6113,1,0.135
6115,3,0.177
8000,,0.083
8001,1,0.162
8003,7,0.131
8005,1,0.074
8007,7,0.077
8009,9,0.138
8011,7,0.152
8013,2,0.05
8014,1,0.031
8015,7,0.065
8017,9,0.084
8019,1,0.014
8021,9,0.12
8023,9,0.19
8025,8,0.139
8027,8,0.064
8029,6,0.093
8031,1,0.12
8033,9,0.062
8035,1,0.019
8037,5,0.117
8039,1,0.033
8041,2,0.058
8043,4,0.099
8045,5,0.119
8047,1,0.015
8049,7,0.054
8051,7,0.026
8053,9,0.063
8055,6,0.076
8057,9,0.126
8059,1,0.055
