fips,registration_2020,registration_2016
1001,43482,38192
1003,176642,146784
1005,17819,17095
1007,14992,13511
1009,41865,37657
1011,7438,7419
1013,14602,13801
1015,81390,74414
1017,25985,24010
1019,19430,16959
1021,29874,28567
1023,11008,10989
1025,19645,19386
1027,10431,10202
1029,11494,10818
1031,37095,33531
1033,43545,38332
1035,10380,10488
1037,8375,8113
1039,28295,25328
1041,10606,9957
1043,62597,55905
1045,35610,31429
1047,31771,32514
1049,45089,40813
1051,60667,54018
1053,27180,24337
1055,75935,69344
1057,13017,12154
1059,19656,18979
1061,20061,17933
1063,7029,7318
1065,12512,12433
1067,14021,12760
1069,80141,69584
1071,39525,36963
1073,504691,456843
1075,11207,10889
1077,68128,60533
1079,25357,23474
1081,123705,103355
1083,71273,58204
1085,10343,10460
1087,17900,18498
1089,302377,262726
1091,16322,16501
1093,21987,20339
1095,63939,55727
1097,314929,284762
1099,16870,16395
1101,165228,154667
1103,85538,75773
1105,8156,8540
1107,14396,14003
1109,23585,22545
1111,18369,16821
1113,42618,36168
1115,67871,58401
1117,164967,142828
1119,10028,10228
1121,58893,53564
1123,31934,30212
1125,149856,132563
1127,49095,46361
1129,13758,13663
1131,9184,9289
1133,17096,16689
2701,13926,12566
2702,11997,11233
2703,14878,13297
2704,15274,14031
2705,13958,13052
2706,15444,14517
2707,16692,13467
2708,17531,12990
2709,16917,14118
2710,17577,14060
2711,16491,14606
2712,16546,14268
2713,13888,12199
2714,16726,16099
2715,12607,11433
2716,15067,13079
2717,13307,11895
2718,14183,13027
2719,12328,10447
2720,14086,13249
2721,14633,13479
2722,15077,13234
2723,14325,12179
2724,15078,13935
2725,15175,13074
2726,15591,13786
2727,15390,13874
2728,16743,15698
2729,16296,14184
2730,16782,14394
2731,18132,15434
2732,13986,12958
2733,16306,15164
2734,16034,14347
2735,15766,14725
2736,15375,13514
2737,10447,10016
2738,12145,10541
2739,12144,10979
2740,10118,9412
2799,681,681
4001,55792,53020
4003,94283,84061
4005,104736,94277
4007,37806,35905
4009,22659,21028
4011,5321,5140
4012,13553,11727
4013,2863040,2438481
4015,155904,142180
4017,81425,70185
4019,697184,616887
4021,263199,225252
4023,30935,28708
4025,181031,156027
4027,128452,105158
5001,10197,10331
5003,11371,12547
5005,29981,28835
5007,170022,144070
5009,25018,24455
5011,5285,5440
5013,3462,3427
5015,16914,15799
5017,6222,6438
5019,12147,12264
5021,7966,8308
5023,18008,18091
5025,4607,4916
5027,13069,14379
5029,11714,11281
5031,57905,59510
5033,35425,33275
5035,31776,30386
5037,10258,10474
5039,4507,4329
5041,7114,7829
5043,11538,10589
5045,76849,74791
5047,9712,9907
5049,7557,6791
5051,66072,65247
5053,12028,11010
5055,22386,20916
5057,10280,11760
5059,18179,19330
5061,7298,7125
5063,21841,21735
5065,8957,8044
5067,7886,8509
5069,44259,42308
