fips,universal_mail,ballot_mailed_2020,application_mailed_2020,excuse_required_2020
30001,0,1,0,0
30003,0,1,0,0
30005,0,1,0,0
30007,0,0,0,0
30009,0,0,0,0
30011,0,1,0,0
30013,0,1,0,0
30015,0,0,0,0
30017,0,1,0,0
30019,0,1,0,0
30021,0,1,0,0
30023,0,1,0,0
30025,0,1,0,0
30027,0,0,0,0
30029,0,1,0,0
30031,0,1,0,0
30033,0,1,0,0
30035,0,1,0,0
30037,0,1,0,0
30039,0,1,0,0
30041,0,1,0,0
30043,0,1,0,0
30045,0,1,0,0
30047,0,1,0,0
30049,0,1,0,0
30051,0,1,0,0
30053,0,1,0,0
30055,0,1,0,0
30057,0,1,0,0
30059,0,1,0,0
30061,0,0,0,0
30063,0,1,0,0
30065,0,1,0,0
30067,0,1,0,0
30069,0,0,0,0
30071,0,1,0,0
30073,0,1,0,0
30075,0,0,0,0
30077,0,0,0,0
30079,0,1,0,0
30081,0,1,0,0
30083,0,1,0,0
30085,0,1,0,0
30087,0,1,0,0
30089,0,1,0,0
30091,0,1,0,0
30093,0,1,0,0
30095,0,0,0,0
30097,0,1,0,0
30099,0,1,0,0
30101,0,1,0,0
30103,0,0,0,0
30105,0,1,0,0
30107,0,1,0,0
30109,0,0,0,0
30111,0,1,0,0
