State,Universal Mail-in,Ballot Mailed,Application Mailed,Excuse Required to Vote by Mail
Alabama,,,,
Alaska,,,,
Arizona,,,,
Arkansas,,,,
California,Partial,Partial,,
Colorado,Yes,,,
Connecticut,,,Yes,
Delaware,,,Yes,
Florida,,,,
Georgia,,,,
Hawaii,,Yes,,
Idaho,,,,
Illinois,,,Yes,
Indiana,,,,Yes
Iowa,,,Yes,
Kansas,,,,
Kentucky,,,,
Louisiana,,,,Yes
Maine,,,,
Maryland,,,Yes,
Massachusetts,,,Yes,
Michigan,,,Yes,
Minnesota,,,,
Mississippi,,,,Yes
Missouri,,,,Yes
Montana,,Partial,,
Nebraska,,Partial,Partial,
Nevada,,Yes,,
New Hampshire,,,,
New Jersey,,Yes,,
New Mexico,,,,
New York,,,,
North Carolina,,,,
North Dakota,,,,
Ohio,,,Yes,
Oklahoma,,,,
Oregon,Yes,,,
Pennsylvania,,,,
Rhode Island,,,Yes,
South Carolina,,,,
South Dakota,,,,
Tennessee,,,,Yes
Texas,,,,Yes
Utah,Yes,,,
Vermont,,Yes,,
Virginia,,,,
Washington,Yes,,,
"Washington, D.C.",,Yes,,
West Virginia,,,,
Wisconsin,,,Yes,
Wyoming,,,,
